Epoch,Train PF4 Acc,Train PF3 Acc,Train PF2 Acc,Train PF1 Acc,Train Leaf Acc Soft,Train Leaf Acc Sig,Train Loss,Test PF4 Acc,Test PF3 Acc,Test PF2 Acc,Test PF1 Acc,Test Leaf Acc Soft,Test Leaf Acc Sig,Test Loss,Epoch Time (s)
0,98.60834819591165,54.63359328186094,36.55867148064753,60.949670613869856,61.03887440448726,55.11348791185578,3.2672695896629667,97.59562691801841,66.06073097004672,56.193546594035745,64.34777104334478,57.94647825573748,60.927777684096924,5.457473945494353,938.5353229045868
1,99.41307106598985,81.77342662166065,59.05430536259467,81.46537899575924,77.6176155030658,75.12994268624192,2.2763030943892986,98.40667470407716,70.0769442154438,59.93718907201023,71.92163440996345,63.39645549129049,65.03718193008785,5.186020870771049,765.5449123382568
2,99.5909932775415,86.5982092434765,74.36468082697107,88.21852393000962,82.12933675029323,79.4654421942664,2.0038755274575433,98.32173388864533,72.56938719428415,69.75487062616381,74.30013767783387,65.98317117177884,67.16354990472658,5.102555789987428,795.8065919876099
3,99.65358759775003,89.18562394113006,84.70835202452865,91.40032378605683,84.33738958346073,81.71574377247939,1.866587590412619,98.26145330995178,74.1453696070349,73.03298963341764,75.76711873526293,66.14167917306038,67.1804124580544,4.80715632567151,839.3139765262604
4,99.6913156811634,90.68065129392289,88.80444581876147,92.7983423867391,86.06958813032627,83.36066530655356,1.7792842238359097,98.20939281017098,74.13162956856279,75.60657013423751,75.2464749727018,66.91567037080755,69.94755745915046,5.164320979650678,778.6587646007538
5,99.72089792838524,91.7273428777121,90.75166914188904,93.8867563357193,87.30862879823889,84.60914134507411,1.7122714660840848,98.5190157825515,77.08573784006595,79.01253439315194,78.31494991375354,69.51587609395814,72.4583916496636,4.492138763630779,760.8650481700897
6,99.75048017560708,92.5610749712246,92.20108967854047,94.74308521740902,88.06535177443743,85.53044116339055,1.6684312829286778,98.17788250767208,77.10909590546854,79.17789944693033,78.90522384516782,69.36074060334215,72.32011871237543,4.739494549375227,793.4821975231171
7,99.77663259706407,93.51033974367265,92.52598983489324,95.14626373290704,88.68623080044695,86.14963838409669,1.6321164978621376,98.33269399386234,80.70074196207749,80.46607931964093,79.86738617841148,70.7249211675632,71.3977370453434,4.542931473058753,791.597268819809
8,99.78820825902044,94.49279860671038,93.11263931291892,95.71798030810585,89.25547704948106,86.8595284817691,1.5986647929599587,98.39434458570803,80.54547952734268,80.278480309052,80.82480100014243,70.92895806282988,71.96094632649276,4.585956845928585,797.5982503890991
9,99.83451090684594,94.7781815673646,93.51114285589851,96.05247751072918,89.84417995741771,87.44267234430504,1.5765098561005986,98.42585488820693,80.45479527342677,79.7740474139129,79.13785190929087,70.06053656644688,72.79901522688566,4.483341493399603,804.8224492073059
10,99.7856358896968,94.42597933344541,93.1135103589145,95.67727450910516,89.56962109757183,87.22649648670284,1.5975958362783922,98.26145330995178,80.10305028854081,79.7101247880826,79.51607032647054,69.51924860462371,70.68782355024197,4.599155043096272,806.3562054634094
11,99.84823020990534,95.25238286150305,93.957989451633,96.33858889052931,90.45628390998844,88.22600729342702,1.5465300375631612,98.45462516440158,81.84803517449849,81.35265834746116,80.72826826605055,70.60688329426841,72.49211675631925,4.609609592756642,848.2751414775848
12,99.86152078474413,95.62355314718778,94.49455378491261,96.73923004082963,91.15940095393749,88.98357848859834,1.5168485463726378,98.52997588776853,82.23962627095356,81.74314221394624,80.8548685730563,70.46861035698025,71.71306679257373,4.547000514045942,808.2873439788818
13,99.87052407737687,95.8494454000319,94.84691433299943,96.93575730424025,91.53028551098461,89.49513030329983,1.498925482022735,98.28611354669005,82.10909590546854,81.80289597287457,80.86911110759443,71.58322513194948,72.35384381903108,4.619550020581651,776.61914229393
14,99.8653793387296,96.00722510335433,95.16351710952097,97.07932208912217,91.77483642508908,90.04319378276362,1.487962741105901,98.41626479614204,83.66584226435835,81.99883271726745,81.28530961687582,71.67259666458695,73.32512689071379,4.455304096969699,840.8799567222595
15,99.87866991356839,96.0981855334118,95.21403777726483,97.18214492989726,92.03884682521152,90.50676539586182,1.4748368322212593,98.35050416483998,83.0612805715856,82.3504071593341,82.01167887832128,73.0266596968113,75.40933848203295,4.404770657730859,843.6639089584351
16,99.8795273700096,96.17362664838836,95.35122752156927,97.31859673059202,92.22289548438742,90.81200976168373,1.4640048712729545,98.71218763700132,82.64220939818631,81.97520913815625,81.55750027693817,72.25266849906413,72.4583916496636,4.749398788162943,805.4563167095184
