Epoch,Train PF4 Acc,Test PF4 Acc,Train PF3 Acc,Test PF3 Acc,Train PF2 Acc,Test PF2 Acc,Train PF1 Acc,Test PF1 Acc,Train Leaf Acc Soft,Test Leaf Acc Soft,Train Leaf Acc Sig,Test Leaf Acc Sig,Train Loss,Test Loss,Epoch Time (s)
0,94.5722191979677,98.25381393957524,34.46847886310282,42.29296493730761,24.61713941625703,39.828052918525295,29.378997317928615,36.50909246685373,32.9371097234612,30.900254678847638,18.690900981266726,40.66917451342321,3.614241349464617,4.077955953689273,548.1662690639496
1,97.85202322627472,96.89276099311995,58.795473888035275,51.44718071927322,55.36468013409529,52.47054786686492,58.12258751497404,59.481226037226634,58.87692067527486,48.78385008995537,46.60838666993748,53.97088717026099,2.4071017743299596,4.179462510431869,583.1621079444885
2,98.27504082743604,93.23586598863297,69.05005340629337,60.13401907050079,68.47602670325917,57.668992336726525,73.01374968387707,62.33855248784458,69.86641490919634,55.20456085422557,62.66456538384342,55.3984906189397,1.8928698968507622,4.046125125480416,616.5123722553253
3,98.78821901651243,91.6560723900688,74.46265272200739,63.95750431714092,75.1547364703294,63.37641541804872,79.88659505650281,66.2711247242273,76.02679135599647,62.13462931376901,72.74477590859419,61.13927895511577,1.6020273760926573,3.7952589947421997,616.2186660766602
4,99.16303756124115,92.23190248279988,78.6831778743724,65.48915083714994,78.81642484106673,63.55179381600519,83.69037874099068,65.08664082078523,79.94974799661021,60.08785251991869,78.39238191522577,58.59015397556018,1.4158106630307714,3.792576857153696,616.9753818511963
5,99.31557339865724,92.81147173197726,82.62896049076672,68.18079435393048,82.36448695531341,66.98311029776202,86.59106337100188,68.49444170754171,82.52553485675206,64.18374261080866,81.57401763280356,63.28652538610715,1.2939075379224467,3.8264395746079285,570.6406338214874
6,99.41423970241335,96.29262638348789,84.73722390088706,68.98415796981756,84.46921228613613,67.43108772732472,88.8548002821738,69.26125045515883,84.46213658630866,65.2141405173018,83.67937081391287,65.36367672141873,1.2100077790486752,nan,572.2057185173035
7,99.50043095626928,96.60671552497756,87.19334220582272,72.6049252946918,86.7305877380394,71.58298067025049,90.43324903500599,72.48484588857713,85.91828845839342,69.32638613051706,85.28270468770907,69.03899623822987,1.145857868444016,nan,613.7717599868774
8,99.54636182181092,97.40502542626383,88.58254223928168,71.76402132292215,88.55680489132322,70.84715391360707,91.88601015579765,73.38659584038383,87.24585752410404,68.86609500221968,86.49876227503512,68.22589312834413,1.0933178001632402,nan,605.4920401573181
9,99.57584830339322,96.34310499551302,89.66773860046952,72.17696523763045,89.63424872476304,70.8319036181326,92.89365100492479,72.58123246299826,88.20490328719465,68.09972195612048,87.44071601671102,67.63709432463375,1.0519849130827508,nan,555.8002874851227
10,99.52367991290147,96.81610828597069,88.91440191004946,72.05871311660034,89.08831941822898,72.05764611689351,92.44238281899919,72.7354509820721,87.53939934582218,69.17451342321083,86.7410050550104,68.09504894974182,1.0789463139537303,nan,615.5173127651215
11,99.6053347849755,97.49289560275201,90.59649403391728,72.46602597792626,91.0006774243977,72.66384536200388,93.88052549614663,73.68860710690342,89.10884464994574,69.8778008831982,88.34911761644935,69.31704011775976,1.0154082928481831,nan,609.8865103721619
12,99.65636908002178,97.2872419982052,91.65381495824623,74.21916059764247,92.0301770557106,74.22509436120325,94.6199562089459,75.2693469274102,89.97100802854594,70.19322881375733,89.21573000297353,69.91284843103811,0.9805516684828943,nan,579.8972282409668
13,99.72101252041372,97.12645827101406,92.2757935261291,73.22809520234252,92.70581832288246,73.6455831331732,95.1197923599095,74.49825433204104,90.45286272877298,68.93619009789948,89.67603812015878,69.8077057875184,0.966326641146383,nan,584.2618551254272
14,99.76807748140084,97.93972479808555,92.76930194833012,73.06854868984158,93.14126243385019,74.06877883258989,95.62225475841873,75.58420973718594,91.02897667296055,70.61379938783617,90.3093917723495,70.07874015748031,0.9410540127234117,nan,619.0791149139404
15,99.72214661585919,97.69854920729884,93.22054228807411,75.85592011412268,93.57489013565858,76.58507758587822,95.90515233392341,78.15880223616853,91.3629436907638,71.96196172807775,90.66270209998142,71.88018411645132,0.9310874592969065,nan,564.6334836483002
16,99.78565596080566,97.53589590188453,93.64550787385834,76.51287634206773,93.9923456833012,76.77379999237485,96.29506385640794,77.42626427056783,91.89860243829914,71.63718778476132,90.94632768361582,71.3311058669595,0.9157265129627938,nan,615.2804892063141
17,99.7799854835783,97.77707149267125,93.86427376008865,77.23365117501314,94.2876332412731,77.42384383697434,96.59518960720894,78.64716087990233,92.19898751867738,71.28437580317298,91.2207016004936,72.46664641697235,0.9063893551018516,nan,563.7656044960022
18,99.83272092179278,97.67237511217469,94.1938505651928,75.41294391470831,94.48854457973633,75.86831369857791,96.78022614286,76.65088782744661,92.5735950044603,70.86380522909414,91.70234909307166,71.02268744596836,0.8923473277774655,nan,585.0401594638824
19,99.80890491743786,97.8425067304816,94.39319598110502,77.2111269614836,94.66571711451947,77.63544168668268,96.95723355827975,77.10283376528798,92.81891168599465,71.07175401294423,91.96773713945882,72.0343933269469,0.8863552503171451,nan,615.042421579361
20,99.79075939031028,97.77146275800179,94.05962084387656,77.0609655379533,94.35248070498457,77.54203362690153,96.66839702378576,78.6278835650181,92.52304490038657,73.1746068833384,91.6993755575379,73.02039767284282,0.8997454039996511,nan,607.1460075378418
21,99.82931863545636,97.59572240502543,94.46916429146698,76.71747128162775,94.776305199956,76.45926264821381,97.01985212397096,78.29374344035813,93.03464835009626,73.35919063529522,92.21174074321863,73.52274585854809,0.8803718201680856,inf,587.8929145336151
22,99.85823806931592,98.02572539635058,94.82387346992398,74.80103611382236,95.08201467173866,76.0303480879942,97.2753530594045,77.46267697646026,93.42927869997993,70.57174233042828,92.74462723292274,71.14184910862403,0.8628777302768802,nan,625.2438695430756
23,99.82705044456542,97.9658988932097,95.07177006163144,77.94504091898791,95.3078228043054,78.3750810171947,97.57423699937442,79.25760918456957,93.84491871278517,74.40127105773499,93.25022486860983,74.22369681534616,0.8549524127145639,nan,623.8600325584412
24,99.80550263110143,97.88363745139097,95.199145499306,77.69727457016293,95.4763104109129,78.39986274734073,97.63341962877432,77.31060038126245,94.01501635444544,72.75637281244889,93.49910793933988,72.78207434753149,0.8528137647711136,nan,625.2498295307159
25,99.83101977862457,98.16781334131021,95.31852427273195,77.14167730310083,95.54057887941266,77.87372755347135,97.73457829481096,77.50337353010474,94.13999197157342,72.40589733404985,93.74080076121378,73.36152713848455,0.8463982936170223,nan,625.6762120723724
26,99.83725730357467,97.76024528866287,95.49959159893302,77.20737292589534,95.74322720351103,78.01098021274163,97.89362296849418,78.38156231927518,94.40153435574157,73.52975536811607,94.01199830507214,73.64190752120376,0.8390679304830878,nan,626.2966272830963
27,99.89226093268009,98.13976966796291,95.50701707287817,76.779412868834,95.73456697198837,77.19508940485721,97.91027492529565,79.21262878317305,94.54802259887006,73.9409799294376,94.32872435325602,73.93397041986962,0.8348466350358853,nan,626.2987532615662
28,99.90303483941209,97.86868082560575,95.63555982041879,76.78128988662813,95.83531155551952,77.4162186892371,98.0220950352722,77.80966864437637,94.6500252743005,73.33348910021262,94.48351223573489,72.49468445524428,0.8314019489929809,nan,627.4240007400513
29,99.88602340773,97.97524678432545,95.77833246702804,76.23883174412494,96.00435404399205,77.13408822295932,98.12987082132612,79.13123567588408,94.855001895643,73.02273417603215,94.69071283610494,73.6185424893105,0.8256843941577215,nan,589.3001210689545
30,99.91380874614407,97.90420281184565,95.96911002838816,76.93332832795255,96.1577877750951,77.37237408974799,98.20508724993012,79.19120954441279,95.09593297700731,73.69798359774761,94.98442622341493,73.52741886492674,0.8171622881942359,nan,622.9119322299957
31,99.90303483941209,97.8742895602752,95.94626241624923,76.80381410015767,96.15489279903655,77.87372755347135,98.2323854145176,78.872062886885,95.15837675901903,73.17694338652773,95.07883527478981,73.41526671183907,0.8185770816092621,nan,576.6321063041687
