Epoch,Train PF4 Acc,Train PF3 Acc,Train PF2 Acc,Train PF1 Acc,Train Leaf Acc Soft,Train Leaf Acc Sig,Train Loss,Test PF4 Acc,Test PF3 Acc,Test PF2 Acc,Test PF1 Acc,Test Leaf Acc Soft,Test Leaf Acc Sig,Test Loss,Epoch Time (s)
0,93.83562420613319,43.9845093189698,36.05576881879187,43.95943005077899,48.45565442340715,30.97611560848331,2.9724992199426796,93.03956027520192,56.53014490577371,53.88882534599108,55.19952020905177,52.963854295661115,55.26530993714806,4.129808284800176,611.5867733955383
1,98.57841135909999,66.64305746745643,68.48065866495284,72.60463599518165,69.92090513075928,62.68937422875069,1.9322742985888732,96.32814836972778,61.2733688715369,57.7852758397194,61.68526570565682,60.001401901913596,60.33318535479801,3.911829427512148,641.6271455287933
2,98.97874705135185,73.93373050099102,75.59940479292236,80.16611428343249,76.11341148833993,72.33922345542265,1.6280942428653968,97.2835028417589,68.10759065995946,65.19310686644553,69.46259129950522,63.92672725998271,64.21178064908058,3.834862861387946,588.9277629852295
3,99.20046271094175,77.5215051920902,78.82395173523861,83.45456844515137,79.29081177520071,77.28218852215284,1.4570555819159572,97.5452437930003,68.68383512275696,70.12085859163521,71.86154604065372,64.81226196873759,64.06691745134232,3.6975761178383424,618.4317135810852
4,99.25149700598803,80.5521125473374,81.69911934828299,86.18319035798189,81.42743512165387,80.33243880137674,1.3565727132689884,97.49850433742148,66.49523237480291,67.78756338404057,69.40904320260458,63.92906376317204,64.30757727984299,3.83758027040302,614.2680475711823
5,99.34959626202141,83.01975164787461,84.03487846960871,88.12450502132984,83.34051916386667,82.3124498230799,1.2677752471017874,97.223676338618,72.8601997146933,72.97075755842769,74.83025253282499,67.18381270590434,66.05528166545947,3.6482236540392736,644.6106867790222
6,99.46187171112321,84.75264603908084,85.72603104572325,89.42566218554505,84.4673401574452,83.56563561621432,1.2120665504136572,97.64433143882741,74.05961408514153,74.46528651492622,75.98046565425065,68.48758148554873,68.96656463936073,3.5680529045845906,603.2681505680084
7,99.50099800399201,86.36911459791058,87.14688529525861,90.62485441803818,85.56975387108524,84.6732529009909,1.164143319653981,98.07246485192941,75.97041819956453,75.47561859011019,76.31888962666267,69.74228369821725,70.22593985840791,3.4677509732526812,611.8313689231873
8,99.55770277626566,87.2795919416472,88.09527945203894,91.4068947158259,86.12420273263852,85.26412036692884,1.139161396681086,97.76959317977864,75.79022449132817,75.58618323230013,75.16653458136098,68.39645786116498,67.98990630622211,3.4467619668104583,617.8717753887177
9,99.54239248775177,88.14723001262331,88.89834581068014,92.15754131200127,86.83273492265263,85.9518446659679,1.1056299021312723,98.58285970685013,75.75456115323973,76.20382019901636,76.07256838091975,69.51096988247389,69.15815790088554,3.357288702156586,649.7072842121124
10,99.48001723825077,88.0786871762065,88.90825294996353,92.22419656464419,86.89007166007552,86.01290476048884,1.1117166892020702,97.36763386180078,73.04414745851791,74.47672423653208,75.08942532182407,69.67919811210542,70.34743802425291,3.6800141230529215,605.5032906532288
11,99.49872981310106,89.46959571381244,90.2845728512289,93.24251479073358,87.99405314997212,87.07229139565136,1.0642698912505537,97.36389470535447,76.28763420677228,76.42494948339625,75.5735001178058,68.12775999439239,68.8590854926517,3.607288130328726,605.0782632827759
12,99.5537334422065,90.06757181290091,90.90340622883049,93.78797660009184,88.38983050847457,87.7185548617306,1.0422326278028164,98.20146574932696,77.17170958780689,77.1493385184338,78.22734380020134,71.12783008948807,71.75167644103834,3.4019086615178242,638.0010523796082
13,99.62121212121212,90.66617925094104,91.50614024422018,94.2599112199602,88.92523156063692,88.07704316022658,1.0215120658535084,97.5452437930003,75.11449808544185,76.33726028441801,76.76012594512392,69.07404378606977,69.61844902918293,3.7928523105918037,622.7833642959595
14,99.7051351841771,91.13055696766492,91.93864966736724,94.62457905735468,89.3806822828002,88.60086679205168,1.007368320216608,98.13416093329344,76.7080861926571,77.31709176865301,77.08998222203184,71.51568961891633,71.70728288044113,3.372174864143409,635.7126829624176
15,99.68585556160406,91.23108646107623,92.0318678964525,94.71841765496679,89.6700911375091,88.93563878027386,1.0034745923689241,97.92663775052348,77.22989713942488,78.82496473369171,77.81609441600446,70.82174817168625,71.034369961915,3.494966622263589,646.1862542629242
16,99.72895118853202,91.74572892450578,92.40068784631151,95.04984759546913,90.0,89.19640202200416,0.984905821583771,97.55833084056236,76.8845258653052,77.20843341339739,76.20750958510935,68.65347321199093,69.51096988247389,3.8867396518358164,633.2321662902832
17,99.698897659227,91.85025675004141,92.5564375582614,95.25752201199262,90.29668230239145,89.63656232112459,0.9753060440361576,97.76024528866287,78.88730385164051,78.71249380456746,77.67044359243472,71.62550526881469,71.21895371387183,3.617132171307502,627.8877189159393
18,99.76524224278715,92.26037138793532,92.80772148014336,95.36064635493618,90.3360095153137,89.67365447517098,0.9677243963555878,97.65367932994316,77.54899016442675,77.83560181478516,78.90204982114936,72.12318044814131,72.87787097829388,3.9986798086156066,607.0108752250671
19,99.75446833605517,92.39917063167935,92.98836798619675,95.64684977272576,90.62741599762117,89.94127267320845,0.9596156168226385,97.84998504337422,77.8662061716345,78.4341759121583,80.17863645126052,72.70730624547302,73.44096824692166,3.4240885212601953,648.0839734077454
20,99.75220014516422,92.19125736121504,92.81177444662532,95.40130440569679,90.68702517060406,90.1711244257445,0.9603628514576316,97.52093927609931,74.66964486823335,76.36394830149834,76.19679996572921,67.73756396177481,68.7282413140494,4.003786734597274,636.1066896915436
